release_path,source_type,source_authority,source_ref_or_drive_id,source_blob_sha1,source_sha256,classification
code/r3_outcome_blind_project_curation_coverage.py,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,5f00bb02298788d60dc5f72c0c477795a68067fd,,first_party_code
code/r4_formal_panel_construction.py,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,e7cc65d54b2b83ee43a91c70cb6c59ec3674de80,,first_party_code
code/r4_corrected_panel_rebuild_from_snapshot.py,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,d894bb411ccc98bd974ab95d73fa604b40f9cef8,,first_party_code
code/r5_python_formal_r1.py,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,94228fd3c499ba1ddad01b07312f7ef2ed48bbf6,,first_party_code
code/r5_stata_baseline_r1.do,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,f2d93411103c352590caddfb8921718fc993520d,,first_party_code
code/r5_stata_high_precision_extract_r1.do,drive,Google Drive,1qjLNnJKSrpyxD1V7H7i-mOO_M7v9YJ22,338a8d365339bacd1d23bd2132de1f4c7a041f4e,735e8fcf3fc0bf7dd6bfc9340aa803ea3bf0f7d362f422401cff9fb587f04bad,first_party_code
code/r6a_robustness_feasibility_r1.py,github,PonderGit/CodexTest,513769d52eadd6fdcb1012bf9449da5d92bce761,2095e3daa05210e97cfe92c4b5d963adba5423ac,,first_party_code
code/r6b_python_formal_robustness_r1.py,github,PonderGit/CodexTest,2b0bb0107c9df03395812c2eed121be57ef6a160,928789c9de843f59ab429bafb2e943ec6831b682,,first_party_code
code/r6c_stata_robustness_r1.do,github,PonderGit/CodexTest,frozen_blob,80352e660a4bebd3be601838442446ae8bbef850,,first_party_code
governance/r3_formal_github_project_frame_r1.csv,github,PonderGit/CodexTest,434aa95eeb23bda891077b58b5e9030ba40594b3,368b1aab779dec5a7de27f9b48bf4ccb29e49866,,author_governance_public_identifiers
governance/omossp_r6_robustness_design_lock_r1.json,github,PonderGit/CodexTest,a9022a9abf6fc754fc776a01f69b41aff4bf1423,495f39d52e5a91d616085662cec59de06b9b6980,,author_governance
governance/r6_full36_structural_frame_r1.csv,github,PonderGit/CodexTest,513769d52eadd6fdcb1012bf9449da5d92bce761,18579662a20587e43a0b23d6dcf0f0e0a0b6276a,,author_governance_public_identifiers
governance/omossp_r6a_robustness_feasibility_closeout_r1.json,github,PonderGit/CodexTest,ed44441966272699095fe929d7f75ec290ed88b8,dab27cb86330fd6abe33a34e87e9fd35a6d4021b,,author_governance
provenance/r3_formal_github_project_frame_r1.csv,github,PonderGit/CodexTest,434aa95eeb23bda891077b58b5e9030ba40594b3,368b1aab779dec5a7de27f9b48bf4ccb29e49866,,author_provenance_public_identifiers
provenance/r4_retrieval_ledger.csv,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,cbedaf8b3006e55cbefb175a4c883a88bc304f3e,,author_provenance_source_paths
results/r5_python_formal/r5_python_formal_coefficients.csv,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,f29d0b1380271aa2312e8de805419cb665aa4e23,,author_generated_output
results/r5_python_formal/r5_python_formal_environment.json,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,2af2106704d71531ae61f1fc0381520e72dbd33c,,author_generated_output
results/r5_python_formal/r5_python_formal_pip_freeze.txt,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,81390197e5d7e67c9000420f09b5bca6cf0b13c8,,author_generated_output
results/r5_python_formal/r5_python_formal_summary.json,github,PonderGit/CodexTest,a296587e3868416119e3a86f59b849960a17e8c4,c9a6a660799ce0d89df60f47414560bd10df2f72,,author_generated_output
results/r6b_python_formal/r6b_python_comparison_to_r5.csv,github,PonderGit/CodexTest,2b0bb0107c9df03395812c2eed121be57ef6a160,a137a778871639ca82d304ef0758553d3b8dcf77,,author_generated_output
results/r6b_python_formal/r6b_python_formal_coefficients.csv,github,PonderGit/CodexTest,2b0bb0107c9df03395812c2eed121be57ef6a160,a12fa9827d02382f2f27a2a7a4e14c9a04fe3887,,author_generated_output
results/r6b_python_formal/r6b_python_formal_environment.json,github,PonderGit/CodexTest,2b0bb0107c9df03395812c2eed121be57ef6a160,1b10acc58699140732c8bf514c4e4369401bc69f,,author_generated_output
results/r6b_python_formal/r6b_python_formal_summary.json,github,PonderGit/CodexTest,2b0bb0107c9df03395812c2eed121be57ef6a160,87707817ebb1f34a3fc69d252743e4c4296b641e,,author_generated_output
verification/r5_stata_baseline.log,drive,Google Drive,1vqA73p4gkrVZKcPjZ1n_jMPf1i1WkOOL,3f934dc7ecd4f0b76e80757faabbd3dcc67e00bd,767fc8f7120c7491b532bb0cb05248b92029db9c17039a9ec9d867a90307ee61,author_generated_verification
verification/r5_stata_baseline_summary.csv,drive,Google Drive,1hCOmC9Mf0xyEqlpcS7-yc4XpobHbh4P4,2f318bc8089a3f341c6ad9c0d99c9f2c89bc2e8d,fa7c0ae47d2aee690c59cbd0eb50af1319e326cdf162199fbc3656d000e3eb55,author_generated_verification
verification/r5_stata_baseline_high_precision.csv,drive,Google Drive,15ZpMSJ_1TvVDR2c_FNuVpAFSetXVA3Qb,3124a32afd118c95d643c12e0a15add00cf1e016,78936d471caecbae31df6c460a632c4b2ae2c1e798396cff179470236822452d,author_generated_verification
verification/r5_python_stata17_cross_software_comparison_r1.csv,drive,Google Drive,1zBj2-tazlaMD3OVIhaX9Sa8FdEBNfMXM,0cf912561b0ce7d13d61b081e249b9f734bf358e,30e92f1455a49c962796575f3b1267d6cf4e65d0bb1c344d3902d61734e9ea94,author_generated_verification
verification/r6c_stata_robustness.log,drive,Google Drive,1Ox7RAdYdQE2o5Pne9q7iCWpBRemI3c6-,64829fe73405467d91761e1d62736774ff548bfe,756b00f21919bf57e6cd243b1aa005a679419adcdaa5f7e08d19484ded7cf745,author_generated_verification
verification/r6c_stata_robustness_high_precision.csv,drive,Google Drive,1yazULlW3pCMoxQ_pfrbS2Zw8zrW54V8-,aeefe1cd411b062d06eb83208d62f209acb0f71a,44cc171922780b9fd8c8237b012217695c1111c58eb3fc3b7d633971ddea1a7b,author_generated_verification
